date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,lethality_rate
2021-03-07,SD,1900.0,,2,,6705.0,6705.0,72.0,13,,9.0,314540.0,524,,,,,6.0,113589.0,100690.0,211,0,,,,,105096.0,109531.0,,0,701924.0,1275,,,,,428129.0,735,701924.0,1275,1.6726971801847008
2021-03-07,SC,8754.0,7744.0,35,1010.0,20725.0,20725.0,579.0,66,,137.0,4657179.0,25856,106809.0,,4526263.0,,83.0,525865.0,449977.0,1408,0,28316.0,111239.0,,,580893.0,218863.0,,0,5183044.0,27264,135125.0,912838.0,,,,0,5107156.0,26282,1.6646858033906042
2021-03-07,RI,2547.0,,0,,9020.0,9020.0,141.0,0,,25.0,677570.0,1421,,,2970088.0,,16.0,128781.0,,265,0,,,,,153260.0,,3123348.0,13513,3123348.0,13513,,,,,806351.0,1686,,0,1.9777762247536517
2021-03-07,PR,2062.0,1752.0,3,310.0,,,134.0,0,,21.0,305972.0,0,,,395291.0,,19.0,101632.0,93620.0,305,0,85241.0,,,,20103.0,91987.0,,0,407604.0,305,,,,,,0,415664.0,0,2.028888539042821
2021-03-07,OR,2296.0,,3,,8714.0,8714.0,158.0,0,,32.0,,0,,,3624001.0,,12.0,157079.0,,195,0,,,,,226972.0,,,0,3850973.0,0,,,,,,0,3850973.0,0,1.4616848846758637
2021-03-07,OK,4534.0,,0,,24332.0,24332.0,346.0,55,,100.0,3146300.0,0,,,3146300.0,,,428997.0,,461,0,23139.0,,,,389855.0,412177.0,,0,3575297.0,461,152279.0,,,,,0,3548479.0,0,1.0568838476725944
2021-03-07,OH,17656.0,14752.0,0,2594.0,50881.0,50881.0,820.0,33,7207.0,260.0,,0,,,,,171.0,978471.0,836358.0,735,0,,86990.0,,,864925.0,925655.0,,0,10257157.0,29289,,1798150.0,,,,0,10257157.0,29289,1.8044479601337187
2021-03-07,NY,39029.0,,59,,,,4789.0,0,,999.0,,0,,,,,682.0,1681169.0,,6789,0,,,,,,,39695100.0,227768,39695100.0,227768,,,,,,0,,0,2.3215393574352134
2021-03-07,NV,5037.0,,1,,,,399.0,0,,87.0,1131758.0,1829,,,,,48.0,296190.0,296190.0,730,0,,,,,,,2770192.0,6201,2770192.0,6201,,,,,1427948.0,2059,,0,1.700597589385192
2021-03-07,NM,3808.0,,12,,13252.0,13252.0,169.0,10,,,,0,,,,,,186922.0,,180,0,,,,,,156554.0,,0,2783542.0,11702,,,,,,0,2783542.0,11702,2.037213383122372
2021-03-07,NJ,23574.0,21177.0,17,2397.0,64396.0,64396.0,1792.0,58,,376.0,10186941.0,0,,,,,232.0,812609.0,720939.0,2519,0,,,,,,,,0,10999550.0,2519,,,,,,0,10902830.0,0,2.901026200792755
2021-03-07,NH,1184.0,,3,,1131.0,1131.0,68.0,4,348.0,,579582.0,396,,,,,,76861.0,54064.0,166,0,,,,,,73615.0,,0,1497185.0,15697,39545.0,205103.0,37918.0,,633646.0,521,1497185.0,15697,1.5404431376120529
2021-03-07,NE,2113.0,,0,,6237.0,6237.0,137.0,8,,,771128.0,542,,,2182938.0,,,203026.0,,373,0,,,,,235965.0,157144.0,,0,2421684.0,1,,,,,974759.0,978,2421684.0,1,1.040753401042231
2021-03-07,ND,1478.0,,0,,3880.0,3880.0,23.0,2,567.0,3.0,305912.0,-109,,,,,,100391.0,94928.0,34,0,,,,,,98326.0,1425146.0,679,1425146.0,679,,156698.0,,,406303.0,-75,1536487.0,881,1.4722435278062775
2021-03-07,NC,11502.0,10169.0,0,1333.0,,,1179.0,0,,309.0,,0,,,,,,872176.0,759617.0,0,0,,,,,,,,0,9688838.0,0,,805924.0,,,,0,9688838.0,0,1.318770523380602
2021-03-07,MS,6808.0,4737.0,3,2071.0,9162.0,9162.0,419.0,0,,89.0,1459374.0,0,,,,,47.0,297581.0,184278.0,260,0,,,,,,278162.0,,0,1756955.0,260,81986.0,748339.0,,,,0,1642348.0,0,2.2877804698552664
2021-03-07,AK,305.0,,0,,1293.0,1293.0,33.0,0,,,,0,,,1660758.0,,2.0,56886.0,,0,0,,,,,68693.0,,,0,1731628.0,0,,,,,,0,1731628.0,0,0.5361600393769996
